0,2045
1.90735E-06,2043
3.8147E-06,2042
5.72205E-06,2041
7.62939E-06,2041
9.53674E-06,2041
1.14441E-05,2041
1.33514E-05,2041
1.52588E-05,2041
1.71661E-05,2042
1.90735E-05,2042
2.09808E-05,2043
2.28882E-05,2043
2.47955E-05,2042
2.67029E-05,2043
2.86102E-05,2042
3.05176E-05,2043
3.24249E-05,2043
3.43323E-05,2043
3.62396E-05,2043
3.8147E-05,2043
4.00543E-05,2043
4.19617E-05,2043
4.3869E-05,2043
4.57764E-05,2043
4.76837E-05,2043
4.95911E-05,2043
5.14984E-05,2043
5.34058E-05,2043
5.53131E-05,2043
5.72205E-05,2031
5.91278E-05,2043
6.10352E-05,2043
6.29425E-05,2043
6.48499E-05,2043
6.67572E-05,2043
6.86646E-05,2043
7.05719E-05,2043
7.24792E-05,2043
7.43866E-05,2043
7.62939E-05,2043
7.82013E-05,2043
8.01086E-05,2043
8.2016E-05,2043
8.39233E-05,2043
8.58307E-05,2043
8.7738E-05,2043
8.96454E-05,2043
9.15527E-05,2043
9.34601E-05,2042
9.53674E-05,2043
9.72748E-05,2042
9.91821E-05,2043
0.000101089,2043
0.000102997,2043
0.000104904,2043
0.000106812,2043
0.000108719,2043
0.000110626,2044
0.000112534,2043
0.000114441,2043
0.000116348,2043
0.000118256,2043
0.000120163,2043
0.00012207,2043
0.000123978,2043
0.000125885,2042
0.000127792,2043
0.0001297,2043
0.000131607,2043
0.000133514,2043
0.000135422,2043
0.000137329,2043
0.000139236,2043
0.000141144,2042
0.000143051,2042
0.000144958,2043
0.000146866,2042
0.000148773,2042
0.000150681,2043
0.000152588,2043
0.000154495,2042
0.000156403,2042
0.00015831,2043
0.000160217,2042
0.000162125,2042
0.000164032,2043
0.000165939,2043
0.000167847,2043
0.000169754,2043
0.000171661,2043
0.000173569,2042
0.000175476,2043
0.000177383,2043
0.000179291,2043
0.000181198,2043
0.000183105,2043
0.000185013,2043
0.00018692,2043
0.000188828,2044
0.000190735,2043
0.000192642,2043
0.00019455,2043
0.000196457,2043
0.000198364,2043
0.000200272,2043
0.000202179,2043
0.000204086,2042
0.000205994,2042
0.000207901,2043
0.000209808,2042
0.000211716,2042
0.000213623,2042
0.00021553,2043
0.000217438,2043
